raw_name,clean_name
Comcast_TTD_*Brand Direct*_Peacock AX_Run of Sports Video_02.12.2025_PAX_PCKPMP_1:1_,Comcast_Ttd_*Brand Direct*_Peacock Ax_Run Of Sports Video_02.12.2025_Pax_Pckpmp_1:1_
Disney - Sports - ESPN - US - RON - All Devices incl. Connected TV / CTV - Video - ADVERTISER SAFELISTING REQUIRED,Disney - Sports - Espn - Us - Ron - All Devices Incl. Connected Tv / Ctv - Video - Advertiser Safelisting Required
Fubo  - US - Live MLS Soccer Games - ConnectedTV CTV/OTT - Video,Fubo  - Us - Live Mls Soccer Games - Connectedtv Ctv/Ott - Video
"Fubo (Soccer) - US - Live EPL, Bundesliga, La Liga and Serie A Games - All Devices including Connected TV CTV/OTT -  Video","Fubo (Soccer) - Us - Live Epl, Bundesliga, La Liga And Serie A Games - All Devices Including Connected Tv Ctv/Ott -  Video"
Fubo - College Baseball - US - ConnectedTV CTV/OTT - Video,Fubo - College Baseball - Us - Connectedtv Ctv/Ott - Video
Fubo - Women's Sports - US - ConnectedTV CTV/OTT - Video,Fubo - Women'S Sports - Us - Connectedtv Ctv/Ott - Video
Fubo – US - Standard Look NCAA College Football - All Devices including Connected TV CTV/OTT - Video,Fubo – Us - Standard Look Ncaa College Football - All Devices Including Connected Tv Ctv/Ott - Video
NBCU Live Sports - English Premier League Soccer - US - RON - OTT - Connected TV - Video,Nbcu Live Sports - English Premier League Soccer - Us - Ron - Ott - Connected Tv - Video
"Sling (NBA Basketball) - US - 1st Look Access - Live NBA Games (ESPN, NBA TV, TNT) - All Devices including ConnectedTV CTV/OTT - Video","Sling (Nba Basketball) - Us - 1St Look Access - Live Nba Games (Espn, Nba Tv, Tnt) - All Devices Including Connectedtv Ctv/Ott - Video"
"Sling (NBA Basketball) - US – Standard Access - Live NBA Games (ESPN, ESPN2, NBA TV, TNT) - All Devices including ConnectedTV CTV/OTT - Video","Sling (Nba Basketball) - Us – Standard Access - Live Nba Games (Espn, Espn2, Nba Tv, Tnt) - All Devices Including Connectedtv Ctv/Ott - Video"
Sling (NHL Hockey) - US - First Look - Live NHL Games - All Devices including ConnectedTV CTV/OTT - Video,Sling (Nhl Hockey) - Us - First Look - Live Nhl Games - All Devices Including Connectedtv Ctv/Ott - Video
"Sling (Soccer) - US - Live MLS, Bundesliga, La Liga and EPL Games (BeIn Sports, NBC Sports, Fox Sports) - All Devices including ConnectedTV CTV/OTT - Video","Sling (Soccer) - Us - Live Mls, Bundesliga, La Liga And Epl Games (Bein Sports, Nbc Sports, Fox Sports) - All Devices Including Connectedtv Ctv/Ott - Video"
"Sling - US - RON - Connected TV (CTV) - Sports - ESPN, ESPN2, ESPNU ESPN News, SEC Network, Pac-12, FS1, FS2, NBA, NBC Sports Network, NHL - All Devices - Video","Sling - Us - Ron - Connected Tv (Ctv) - Sports - Espn, Espn2, Espnu Espn News, Sec Network, Pac-12, Fs1, Fs2, Nba, Nbc Sports Network, Nhl - All Devices - Video"
TTD HM Roku RON: (TFL0126960_TTD_Comcast_Programmatic Dynamic_Video_Targeted Base_Spanish Language - Non-GTD_0325074),Ttd Hm Roku Ron: (Tfl0126960_Ttd_Comcast_Programmatic Dynamic_Video_Targeted Base_Spanish Language - Non-Gtd_0325074)
Big Ten Networks - US - RON  – Connected TV & OTT Only – Video,Big Ten Networks - Us - Ron  – Connected Tv & Ott Only – Video
CBS Sports - US - Live Fantasy Sports - OLV/Web Video,Cbs Sports - Us - Live Fantasy Sports - Olv/Web Video
DIRECTV STREAM (AT&T TV) (March Madness Tournament) - US - Live NCAA Games - All Devices including Connected TV (CTV) - Video,Directv Stream (At&T Tv) (March Madness Tournament) - Us - Live Ncaa Games - All Devices Including Connected Tv (Ctv) - Video
